Finding Label,iobb_match0.1,iobb_fp0.1,iobb_match0.2,iobb_fp0.2,iobb_match0.30000000000000004,iobb_fp0.30000000000000004,iobb_match0.4,iobb_fp0.4,iobb_match0.5,iobb_fp0.5,iobb_match0.6,iobb_fp0.6,iobb_match0.7000000000000001,iobb_fp0.7000000000000001,iobb_match0.8,iobb_fp0.8,iobb_match0.9,iobb_fp0.9
Atelectasis,0.17777777777777778,0.8222222222222222,0.08888888888888889,0.9111111111111111,0.044444444444444446,0.9555555555555556,0.03333333333333333,0.9666666666666667,0.016666666666666666,0.9833333333333333,0.011111111111111112,0.9888888888888889,0.005555555555555556,0.9944444444444445,0.005555555555555556,0.9944444444444445,0.0,1.0
Cardiomegaly,0.9452054794520548,0.0547945205479452,0.9041095890410958,0.0958904109589041,0.8424657534246576,0.15753424657534246,0.6575342465753424,0.3424657534246575,0.4178082191780822,0.5821917808219178,0.273972602739726,0.726027397260274,0.1643835616438356,0.8356164383561644,0.07534246575342465,0.9246575342465754,0.0136986301369863,0.9863013698630136
Effusion,0.49673202614379086,0.5032679738562091,0.28104575163398693,0.7254901960784313,0.1895424836601307,0.8169934640522876,0.1111111111111111,0.8954248366013072,0.0718954248366013,0.934640522875817,0.0392156862745098,0.9673202614379085,0.0196078431372549,0.9869281045751634,0.0196078431372549,0.9869281045751634,0.006535947712418301,1.0
Infiltrate,0.43089430894308944,0.5772357723577236,0.22764227642276422,0.7804878048780488,0.13008130081300814,0.8780487804878049,0.06504065040650407,0.943089430894309,0.024390243902439025,0.983739837398374,0.016260162601626018,0.991869918699187,0.008130081300813009,1.0,0.008130081300813009,1.0,0.008130081300813009,1.0
Mass,0.3176470588235294,0.6823529411764706,0.17647058823529413,0.8235294117647058,0.11764705882352941,0.8823529411764706,0.09411764705882353,0.9058823529411765,0.058823529411764705,0.9411764705882353,0.023529411764705882,0.9764705882352941,0.011764705882352941,0.9882352941176471,0.011764705882352941,0.9882352941176471,0.0,1.0
Nodule,0.012658227848101266,0.9873417721518988,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
Pneumonia,0.475,0.5333333333333333,0.3333333333333333,0.675,0.18333333333333332,0.825,0.125,0.8833333333333333,0.075,0.9333333333333333,0.05,0.9583333333333334,0.03333333333333333,0.975,0.03333333333333333,0.975,0.025,0.9833333333333333
Pneumothorax,0.2755102040816326,0.7244897959183674,0.19387755102040816,0.8061224489795918,0.11224489795918367,0.8877551020408163,0.04081632653061224,0.9591836734693877,0.02040816326530612,0.9795918367346939,0.01020408163265306,0.9897959183673469,0.01020408163265306,0.9897959183673469,0.0,1.0,0.0,1.0
